Title,Desc,BodyPart
Standing Cable Curl - Gethin Variation,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.",Biceps
Alternate Incline Dumbbell Curl,"The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.",Biceps
Deadlift - Gethin Variation,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.",Lower Back
Alternating dumbbell snatch,"The alternating dumbbell snatch is an explosive exercise that builds full-body power and targets the muscles of the hips, back, and shoulders. Performing it by alternating arms gives each arm the chance to recover, allowing you to do a greater amount of quality work. It can be performed for low reps with a focus on power and speed, or for higher reps to build muscle or as part of a metabolic conditioning circuit.",Biceps
Dumbbell overhead hold with single-arm curl,"The dumbbell overhead hold with single-arm curl combines an isometric overhead hold with a curl for the other arm. The two movements collectively target the muscles of the shoulders and arms, while providing a surprising core challenge. Expect to be challenged, even with light weight.",Biceps
Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Abdominals
Face-down incline dumbbell biceps curl,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Biceps
EZ-bar spider curl,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Biceps
Pendlay Row,"The Pendlay row, named after the well-known strength coach Glenn Pendlay, is a bent-over row variation where each rep starts with the barbell resting on the ground. This eliminates the stretch reflex and forces the lifter to pull with power and a bent-over spine. The Pendlay row can be performed heavy for low reps, but is usually performed for moderate reps, such as 5-8 per set.",Middle Back
Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Middle Back
Lying Leg Curls,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Hamstrings
Side-lying leg lift,"The side-lying leg lift is a bodyweight exercise targeting the muscles of the hips and glutes. It can be a worthy addition to a dynamic warm-up on a lower-body or strength-focused training day, a component of a lower-body circuit or workout, or a glute activation drill to do anytime. Generally, leg lifts are done for high reps, such as 8-15 reps per leg or more.",Glutes
UP Deficit Kettlebell Stiff-Legged Deadlift,"The kettlebell deficit deadlift is a more advanced version of the kettlebell deadlift movement that is performed standing on steps or boxes. It can be done to build strength or hip mobility for squats or deadlifts, in high reps or in more traditional strength and muscle-focused rep ranges.",Middle Back
Straight-arm cable pull-over,"The straight-arm cable pull-over is an exercise that focuses on the muscles of the lats (latissimus dorsi) and chest using a cable stack and a flat bench. It is most commonly used for higher reps, such as 10-15 or more, in muscle-building workouts. It is also an effective substitute for dumbbell pull-overs or a pull-over machine, if you don't have access to them or they aggravate your shoulders.",Lats
Lat pull-down,"The lat pull-down is a cable-based exercise that's ubiquitous in gyms around the world. This back builder is easy to learn and highly effective at building back size and strength. It's usually trained in moderate to high reps, such as 8-12 reps per set. If grip strength is a limitation, you can wear wrist straps.",Lats
Smith machine stiff-legged deadlift,"The Smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. The Smith machine mimics a barbell but provides more stability. This movement can be programmed like a traditional stiff-legged or Romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Hamstrings
Narrow-stance hack squat,"The narrow-stance hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, or as a muscle-building movement during lower-body training, and is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Quadriceps
Incline straight-arm pull-over,"The incline straight-arm pull-over is an upper-body exercise targeting the chest and lats (latissimus dorsi). Performing it on an incline bench emphasizes the stretch on the chest in particular. If this movement causes pain in the front of the shoulders, perform it with a more limited range of motion or try pull-overs using a high cable stack instead. Pull-over variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of chest or back-focused upper-body training.",Lats
Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Abdominals
Rhomboids SMR,"Rhomboids self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the rhomboid muscles of the mid back, some people find they can cause this often painful and tight area to relax or ""release."" Rhomboids SMR is often accompanied by SMR on the lats, or by stretches that target the rhomboids or lats.",Middle Back
Negative pull-up,"The negative pull-up is a multijoint bodyweight exercise that focuses on just one half of the traditional pull-up: the lowering, eccentric, or ""negative"" portion. Because muscles are stronger eccentrically than they are concentrically, many people can perform negatives even if they can't perform full pull-ups. For this reason, it is a popular training tool to help people earn their first pull-up rep, or as a back-off exercise after doing full pull-ups.",Lats
Tricep Dumbbell Kickback,The single-arm triceps kick-back is an isolation move from a bent-over position used to increase size and strength of the triceps.,Triceps
Dumbbell front squat,"The dumbbell front squat is a popular exercise for targeting the muscles of the lower body, including the quadriceps, glutes, and hamstrings. Holding dumbbells in the racked position also works the core and upper-back muscles to maintain posture while the lower body moves. Because the amount of weight you can use will be limited by what you can clean to the rack position, this movement is usually performed for moderate to high reps, at least 8-12 reps per set or more. If this movement hurts your knees, try performing it with a wider stance.",Quadriceps
Straight-Arm Pulldown,"The straight-arm bar pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine. It can either be performed in an athletic upright stance, or slightly bent-over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, like 8-15 reps or above.",Lats
Reverse-grip cable straight-bar push-down,"The reverse-grip cable straight-bar push-down is a twist on the popular cable straight-bar push-down. The difference has to do with how the hands are positioned holding the bar: the palms facing up rather than down. Because grip will be a limiting factor, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or higher.",Triceps
Bodyweight squat,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",Quadriceps
Lying groin stretch with band,"The lying groin stretch with band is a simple way to stretch a chronically tight muscle group of the lower body. It is common in stretching and yoga classes but can also be performed individually as part of a warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy.",Hamstrings
Shoulder L,"The bent-over shoulder rotation is an upper-body exercise that helps strengthen the muscles around the rotator cuff for a stable shoulder joint. It is usually performed as part of a dynamic warm-up for the shoulders. It can be performed with body weight, light dumbbells or weight plates, or bands.",Shoulders
Barbell deficit deadlift,"The barbell deficit deadlift is a compound exercise targeting the posterior chain. It is commonly utilized in powerlifting training to build pulling strength off the floor, but is also an effective muscle-building movement for the glutes and hamstrings. It is usually performed with lighter weight, and perhaps for higher reps, than traditional deadlifts. If these make your back sore, decrease the deficit and/or wear a weightlifting belt.",Lower Back
Hollow-body knee tuck,"The hollow-body knee tuck is a bodyweight abdominal exercise performed on the floor. It is similar to both the hollow-body hold and the knee tuck or reverse crunch, combining elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Abdominals
Incline dumbbell chest fly,"The incline dumbbell chest fly is an upper-body exercise targeting the chest. Performing it at an incline helps to target the upper chest in particular, while limiting involvement of the shoulders. Fly variations are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Chest
Total Fitness Bear Crawl,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Glutes
Weighted pull-up,"The weighted pull-up is a more advanced variation of the pull-up exercise in which the lifter adds extra weight to their body. Options for adding weight include a dip belt, weighted vest, chains, a dumbbell placed between the feet or legs, or looping a kettlebell over the foot. Like other pull-up variations, the weighted pull-up builds strength and muscle in the upper back, biceps, and core.",Lats
Incline Dumbbell Row - Gethin Variation,The incline dumbbell row is an upper body isolation exercise targeting the lower lats and upper back muscles.,Lats
Total Fitness Skip,"The skip is an exercise that builds power and explosiveness in the legs. It's commonly performed by children and in gym classes, but is also great for working the legs and hip flexors, making it a favorite warm-up for athletes who need to explode vertically.",Quadriceps
Decline EZ-bar skullcrusher,"The decline EZ-bar skullcrusher is a popular exercise targeting the triceps muscles. The angle of the bench creates a greater range of motion than flat bench skullcrushers, as well as targeting the lateral head of the muscle. This exercise is usually performed for moderate to high reps as part of an upper-body or arm-focused workout.",Triceps
Kettlebell upright row and press,"The kettlebell upright row and press is a combination of two popular kettlebell movements in a single sequence. This combination can be performed for time or for reps, often as circuit-style training for conditioning or fat loss, or in a kettlebell complex or flow.",Shoulders
Barbell step-down reverse lunge,"The barbell step-down reverse lunge is an exercise targeting the lower body, particularly the glutes and hamstrings. The front foot is slightly elevated during this movement, making the subsequent step-down more pronounced and difficult. These are usually performed for time or for relatively high reps, such as 10 reps or more per set.",Quadriceps
Leg curl,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Hamstrings
TBS Skullcrusher,"The EZ-bar skullcrusher is a popular exercise targeting the triceps muscles. The EZ-bar is used more often than a straight bar. As for the name, that’s worst-case scenario. The bar should actually come down behind the head. It is usually performed for moderate to high reps as part of an upper body or arms-focused workout. No need to chase a 1RM on this move!",Triceps
Partner Superman with alternating high-five,"The partner Superman with alternating high-five is an exercise in which both partners perform isometric holds for reps, high-fiving each other in between. It targets the muscles of the posterior chain, including the muscles of the glutes, spinal erectors, and upper back. It can be performed as part of a dynamic warm-up, or as part of a core or back-focused workout or finisher.",Lower Back
Leverage High Row,The machine high row is an exercise targeting the lats and works the back overall.,Middle Back
Groiner,"The groiner is an explosive bodyweight exercise targeting the legs, shoulders, and core. It also includes a dynamic stretch of the hips. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",Glutes
Standing cable high-to-low twist,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Abdominals
Straight-Arm Dumbbell Pull-Over - Gethin Variation,"The straight-arm dumbbell pull-overpull-over was a staple exercise of the Golden Era of bodybuilding and a favorite of Arnold Schwarzenegger himself. Done properly, the exercise hits the bottom of the pecs, the lats, the abs, and the triceps.",Lats
TBS Inverted Row,"The Smith machine inverted row is a bodyweight exercise targeting the muscles of the lats (latissimus dorsi) and upper back, using the bar of the Smith machine to hang and pull from. You can change the bar height to customize the difficulty level and desired angle of the row. This variation is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Shoulders
Sissy squat,"The sissy squat is a bodyweight squat variation that involves letting the knees travel far over the toes, placing an extreme stretch on the quads. This movement targets the quad muscles directly and can be performed in partial or full ranges of motion based on knee health and pain.",Quadriceps
Single-arm dumbbell front squat,"The single-arm dumbbell front squat is an exercise that targets the quads, glutes, and hamstrings, as well as the upper body. It also challenges oblique strength due to the offset loading. It can be performed in strength and muscle-focused workouts, in circuit training, or as part of a larger dumbbell complex with movements like single-arm dumbbell clean and presses.",Quadriceps
Exercise ball bird dog,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Abdominals
Lying quad stretch with band,"The lying quad stretch with band is a simple way to stretch a chronically tight muscle group of the lower body. It is common in stretching and yoga classes but can also be performed individually as part of a warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy.",Quadriceps
Banded Hammer Press - Gethin Variation,The machine chest press is an upper body exercise targeting the pectoral muscles.,Biceps
Cross-over push-up,The cross-over push-up is a variation of the push-up that adds a degree of difficulty by stepping over a small box or step between repetitions. It can be performed for time or for reps and creates a greater core stabilization challenge by forcing the core muscles to maintain the a neutral spine throughout the movement.,Chest
Shoulder T,"The bent-over plate rear delt raise is an exercise targeting the rear heads of the shoulders, aka deltoids. You can also use dumbbells or other light weights for a similar effect. This movement is usually performed as part of a dynamic warm-up, or as a high-rep burnout movement on a shoulder or back day.",Shoulders
Barbell seal row,"The barbell seal row is a weighted exercise targeting the muscles of the middle back, including the lats (latissimus dorsi) and rhomboids. It can be performed on a special elevated bench, on a bench placed on top of boxes or benches, or on a bench with a slight incline. The higher the bench, the greater the range of motion and stretch at the bottom of the movement. It is usually performed as an assistance movement for back strength and muscle growth, in rep ranges of 8-12 reps per set or higher.",Middle Back
Dumbbell racked carry,"The dumbbell racked carry involves carrying dumbbells for time or distance, while holding them close to the shoulders in a front-racked position. Similar to a dumbbell farmer's carry, it can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.",Shoulders
Kneeling cable triceps extension,The kneeling cable triceps extension is a single-joint exercise meant to isolate the triceps muscles using a high pully on a cable stack and a bench. It can also be performed in a tall-kneeling stance from a low pully. It is most commonly used in muscle-building triceps or arm workouts.,Triceps
UP Lat Pull-Down,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack.",Lats
Cable EZ-Bar Preacher Curl - Gethin Variation,"The cable preacher curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack and a preacher bench. It is popular in muscle-building arm workouts because the angle of the bench effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.",Biceps
Parallel bars leg raise,"The parallel bars leg raise is a bodyweight exercise that targets the abs. It is performed on parallel bars, starting in the top position of a dip. Leg raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training. However, this difficult variation may require some time to build up to those rep ranges.",Abdominals
Reverse-grip hands-elevated push-up,"The reverse-grip hands-elevated push-up is a bodyweight exercise performed on a Smith machine or other elevated surface. It targets the chest, triceps, and shoulders. It can work as a regression of floor reverse-grip push-ups, or in a progressive mechanical dropset moving the bar up once you reach failure at a lower height.",Chest
Single-arm cable biceps curl,"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an arm-focused workout.",Biceps
Kettlebell bent-over row to clean,"The kettlebell bent-over row to clean is a combination kettlebell exercise that targets many of the muscles of the upper body including the lats (latissimus dorsi), biceps, shoulders, and core. It also strengthens and trains power output of the lower body. It can be done for reps or for time as a strength or muscle-focused complex, or in circuit-style training for conditioning or fat loss.",Middle Back
Band-assisted pull-up,"The band-assisted pull-up is a variation of the pull-up exercise in which the reps are performed with an elastic band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, and is often used as a way to help people boost their pull-up numbers or perform their first rep.",Lats
Reverse-grip lat pull-down,"The reverse-grip lat pull-down is variation on the lat pull-down that targets the lower lats more than an overhand grip. Because the hands are relatively close together, it also increases the range of motion beyond wider-grip pull-down variations. It can be performed for low reps, such as 5-6 per set, for back strength, or for higher reps for size.",Lats
Kettlebell plyo push-up,"The kettlebell plyo push-up is an explosive upper-body movement that uses a kettlebell primarily as a platform for the hands. A short step, dumbbell, or other stationary object could also be used in place of the kettlebell. It can be performed for reps or time, either for low reps to build explosive power or for higher reps for conditioning.",Chest
Barbell hip thrust-,"The barbell hip thrust is a popular exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves fully extending your hips while holding a weighted barbell across the front of the hips. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout.",Glutes
Single-arm stiff-legged deadlift,"The single-arm stiff-legged deadlift is a dumbbell exercise that targets the hamstrings, glutes, lower and upper back, and core. The difference between a stiff-legged deadlift and a Romanian deadlift is primarily the amount of knee bend. The knees are only slightly bent in a stiff-legged deadlift, while they bend more in a Romanian deadlift. Stiff-legged deadlifts are generally performed for low to moderate reps, such as 8-10 reps per set, with a focus on maximizing the hamstring stretch rather than moving heavy weight. Feel free to wear a weight belt to protect your lower back.",Quadriceps
Side plank lateral raise,"The side plank lateral raise is an exercise that combines an isometric side plank hold with a dumbbell raise to target both the core and the shoulders. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a time-efficient workout.",Abdominals
Machine Triceps Extension,The machine triceps extension is an isolation exercise targeting the tricep muscles.,Triceps
Glute bridge,"The glute bridge is a popular lower-body bodyweight exercise that primarily targets the glutes, but also activates the lower back and hamstrings. It can be performed with body weight alone, or with added resistance such as barbells, dumbbells, or bands. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime.",Glutes
Yoga plex,"The yoga plex is a stretch that combines elements of the downward facing dog yoga pose with the “world’s greatest stretch.” It is most commonly performed as part of a dynamic warm-up, to limber up muscles from head to toe, raise the body’s core temperature, and mobilize the hips, upper back, and shoulders.",Lower Back
Seated alternating biceps curl,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.",Biceps
Rope climb,"The rope climb is an exercise that is used commonly in CrossFit workouts and as a test of upper-body strength. It was even contested at the Olympics in the early 20th century. It targets a wide range of upper-body musculature, including the hands and forearms, shoulders, biceps, lats (latissimus dorsi), and core.",Lats
Bench skip,"The bench skip is an explosive lower-body exercise that involves alternating the position of the feet on top of a bench. It primarily targets the muscles of the lower body, but is also a serious cardiovascular challenge. It is often performed for high reps or for time as part of a fat-loss or athleticism-focused workout or circuit.",Quadriceps
Dumbbell pull-over to skullcrusher,"The dumbbell pull-over to skullcrusher is a complex that combines two popular exercises into one sequence that works much of the upper body, particularly the chest, triceps, and serratus anterior muscles. Because the pull-over will determine the amount of weight you can use, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body portion of a workout.",Middle Back
Single-arm kneeling lat pull-down,"The single-arm kneeling lat pull-down is a variation of the lat pull-down exercise performed one arm at a time, with the knees on the ground, rather than sitting on a bench or machine. It has all of the same benefits of a lat pull-down performed on a bench or machine, in addition to providing further activation to the core and lower body.",Lats
AM Flat Bench Barbell Press,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Chest
